Unit,Year,Month,Month_Num,Cost,Cumulative,,,,,,,,,,,,,,,,
HHC,2018,October,1,-53727.99,-53727.99,,,,,,,,,,,,,,,,
HHC,2018,November,2,42317.82,-11410.17,,,,,,,,,,,,,,,,
HHC,2018,December,3,43108.01,31697.84,,,,,,,,,,,,,,,,
HHC,2018,January,4,55581.17,87279.01,,,,,,,,,,,,,,,,
HHC,2018,February,5,177477.58,264756.59,,,,,,,,,,,,,,,,
HHC,2018,March,6,91330.66,356087.25,,,,,,,,,,,,,,,,
HHC,2018,April,7,54059.85,410147.1,,,,,,,,,,,,,,,,
HHC,2018,May,8,13141.65,423288.75,,,,,,,,,,,,,,,,
HHC,2018,June,9,12469.62,435758.37,,,,,,,,,,,,,,,,
HHC,2018,July,10,62970.99,498729.36,,,,,,,,,,,,,,,,
HHC,2018,August,11,38283.29,537012.65,,,,,,,,,,,,,,,,
HHC,2018,September,12,1362137.87,1899150.52,,,,,,,,,,,,,,,,
728th,2018,October,1,174342.68,174342.68,,,,,,,,,,,,,,,,
728th,2018,November,2,253427.86,427770.54,,,,,,,,,,,,,,,,
728th,2018,December,3,132807.15,560577.69,,,,,,,,,,,,,,,,
728th,2018,January,4,266445.57,827023.26,,,,,,,,,,,,,,,,
728th,2018,February,5,225049.38,1052072.64,,,,,,,,,,,,,,,,
728th,2018,March,6,538061.69,1590134.33,,,,,,,,,,,,,,,,
728th,2018,April,7,238580.37,1828714.7,,,,,,,,,,,,,,,,
728th,2018,May,8,191492.92,2020207.62,,,,,,,,,,,,,,,,
728th,2018,June,9,85088.12,2105295.74,,,,,,,,,,,,,,,,
728th,2018,July,10,118220.04,2223515.78,,,,,,,,,,,,,,,,
728th,2018,August,11,-351043.39,1872472.39,,,,,,,,,,,,,,,,
728th,2018,September,12,-24903.31,1847569.08,,,,,,,,,,,,,,,,
303rd,2018,October,1,179319.95,179319.95,,,,,,,,,,,,,,,,
303rd,2018,November,2,88882.95,268202.9,,,,,,,,,,,,,,,,
303rd,2018,December,3,136459.14,404662.04,,,,,,,,,,,,,,,,
303rd,2018,January,4,40172.02,444834.06,,,,,,,,,,,,,,,,
303rd,2018,February,5,162323.42,607157.48,,,,,,,,,,,,,,,,
303rd,2018,March,6,467557.31,1074714.79,,,,,,,,,,,,,,,,
303rd,2018,April,7,894698.06,1969412.85,,,,,,,,,,,,,,,,
303rd,2018,May,8,43554.88,2012967.73,,,,,,,,,,,,,,,,
303rd,2018,June,9,-142624.94,1870342.79,,,,,,,,,,,,,,,,
303rd,2018,July,10,156520.12,2026862.91,,,,,,,,,,,,,,,,
303rd,2018,August,11,351710.17,2378573.08,,,,,,,,,,,,,,,,
303rd,2018,September,12,282599.57,2661172.65,,,,,,,,,,,,,,,,
HHC,2019,October,1,98588.34,98588.34,,,,,,,,,,,,,,,,
HHC,2019,November,2,176175.75,274764.09,,,,,,,,,,,,,,,,
HHC,2019,December,3,-28518.22,246245.87,,,,,,,,,,,,,,,,
HHC,2019,January,4,110046.66,356292.53,,,,,,,,,,,,,,,,
HHC,2019,February,5,-148048.49,208244.04,,,,,,,,,,,,,,,,
HHC,2019,March,6,573505.64,781749.68,,,,,,,,,,,,,,,,
HHC,2019,April,7,6407.35,788157.03,,,,,,,,,,,,,,,,
HHC,2019,May,8,69630.66,857787.69,,,,,,,,,,,,,,,,
HHC,2019,June,9,144955.25,1002742.94,,,,,,,,,,,,,,,,
HHC,2019,July,10,966969.64,1969712.58,,,,,,,,,,,,,,,,
HHC,2019,August,11,-335820.83,1633891.75,,,,,,,,,,,,,,,,
HHC,2019,September,12,327034.77,1960926.52,,,,,,,,,,,,,,,,
728th,2019,October,1,222415.09,222415.09,,,,,,,,,,,,,,,,
728th,2019,November,2,-169166.28,53248.81,,,,,,,,,,,,,,,,
